Thématique;Sous-thème;mot;noyau;genre;mot en chinois;phrases françaises;phrases chinoises;tag;
faire;devoir;falloir;1;v.;??;Il va falloir partir maintenant.;??????????;falloir/partir;
faire;devoir;responsabilité;1;f.;???;Ce travail est placé sous ta responsabilité.;?????????;travail/placer/responsabilité;
faire;possible;possible;0;adj.;???/???;Je crois qu’il est possible de faire mieux.;??????????;possible/faire/mieux;
faire;possible;capacité;1;f.;??;Ils n'ont pas toutes les capacités demandées pour ce métier.;????????????????;capacité/demander/métier;
faire;possible;apte;1;adj.;????;Il est apte à comprendre.;???????;apte/comprendre;
faire;possible;capable;1;adj.;????;Est-elle capable de réussir ?;????????;capable/réussir;
faire;possible;probable;1;adj.;????;C'est probable qu'il vienne.;??????;probable/venir;
faire;projet;projet;0;m.;??;Leur projet avance à pas de géant.;??????????;projet/avancer/pas/géant;
faire;projet;plan;1;m.;??;Son plan d’action est bien établi.;????????????;plan/action/établir;
faire;projet;programme;1;m.;??;Il a élaboré un programme innovant.;??????????????;élaborer/programme/innovant;
faire;projet;intention;1;f.;??;Je n'ai pas l'intention de le laisser faire.;????????;intention/laisser/faire;
faire;pour;pour;0;prép.;??;Pour une fois, pensez-y avant !;??????????;pour/fois/penser/avant;
faire;pour;contre;1;prép.;??;Je ne suis pas contre par principe.;?????????;contre/principe;
faire;pour;opposition;1;f.;??;Je ne m’oppose pas à cette idée.;?????????;s'opposer/idée;
faire;pour;favorable;1;adj.;???;Je ne suis pas favorable à cette idée.;?????????;favorable/idée;
faire;objectif;objectif;0;m.;??;Il sera jugé sur ses objectifs.;????????;juger/objectif;
faire;objectif;finalité;1;f.;??;Quelle est la finalité que vous visez ?;???????????;finalité/viser;
faire;objectif;efficacité;1;f.;??;Son action a démontré son efficacité.;????????????;action/démontrer/efficacité;
faire;objectif;efficace;1;adj.;????;Il est plus efficace qu'eux.;?????????;efficace;
faire;objectif;atteindre;1;v.;??;Il n'a pas encore atteint ses objectifs.;????????;atteindre/objectif;
faire;objectif;réussir;1;v.;??;Je voudrais réussir dans la vie.;??????????;réussir/vie;
faire;objectif;réussite;1;f.;??;Il court après la réussite.;????????;courir/réussite/après;
faire;objectif;accessible;1;adj.;????;Ce n'est pas très accessible si on n'a pas un bon niveau de langue.;?????????????????;accessible/niveau/langue;
faire;objectif;échouer;1;v.;??;Il a échoué de peu dans sa tentative.;?????????;échouer/tentative;
faire;objectif;échec;;m.;??;Il n'a jamais connu d'échec.;???????;connu/échec;
faire;objectif;rater;1;v.;??  /  ??;Il a raté son examen.;???????;rater/examen;
faire;aide;aide;0;f.;??;J'aime pouvoir compter sur leur aide.;????????????;aimer/compter/aide;
faire;aide;aider;1;v.;??;Je l'ai aidé autant que je pouvais.;????????;aider/autant/pouvoir;
faire;aide;assister;1;v.;??;Je ne l'ai pas assisté dans ce travail.;???????????;assister/travail;
